idCliente,nombreProducto
66b27b8be18b3b3a60aff71f,Quesadillas de Bisteck
66c47b8bf78b3b3a767j3m87,Enchiladas Verdes
66a2b7c5b4b7b3a3b47d89bc,Quesadillas de Pastor
65f40b8e90f4191147e0de6b,MOLE ROJO DE POLLO
6620cbbc1ce322dceee6e6af,Mole rojo de Pollo
66d93b8c0c8b3b3a8bcd3h8s,Enchiladas Rojas
66b77b8bea8b3b3a69f8a0a8,Pozole verde Huasteco
66ffff8c338b3b3bc1a7u7f,PASTEL DE CHOCOLATE
66b0fb8bde8b3b3a5d7df3ec,Mole rojo de Guajolote
66f9fb8c2c8b3b3b5g3n0y,Filete de Tilapia
66ffff8c338b3b3bc1a7u7f,Filete de Tilapia
66b1fb8be08b3b3a5f9ff60e,MOLE ROJO DE POLLO
66a83b8bd18b3b3a4fa0f50f,Mole verde de Cerdo
66b3fb8be48b3b3a63d2fa52,Sopes de Bistec
661b475188c1a8a00511b7b7,Enchiladas Rojas
66f1bb8c248b3b3ad8b7f2q,Enchiladas Rojas
66ed7b8c208b3b3a9f4x3b8m,Enchiladas Rojas
66cd7b8c008b3b3a7f0f1v6g,Quesadillas de Pastor
65f40b8e90f4191147e0de6b,Empanadas Huastecas
66b6fb8be98b3b3a68f7ff97,Mole rojo de Guajolote
66f1bb8c248b3b3ad8b7f2q,Pozole verde Huasteco
66a57b8bcd8b3b3a4b9af0cb,Mole verde de Cerdo
66b77b8bea8b3b3a69f8a0a8,MOLE ROJO DE POLLO
66a6fb8bcf8b3b3a4d9cf2ed,Quesadillas de Pastor
66d63b8c098b3b3a889o0e5p,Filete de Tilapia
66b03b8bdd8b3b3a5c6cf2db,Mole rojo de Guajolote
66b4fb8be68b3b3a65f4fc74,Sopes de Bistec
66bd3b8bf08b3b3a6f0c6f10,Pozole Huasteco
66b3fb8be48b3b3a63d2fa52,Filete de Tilapia
66a6fb8bcf8b3b3a4d9cf2ed,Quesadillas de Pastor
66ae3b8bda8b3b3a5939fea8,Quesadillas de Pastor
66ebfb8c1e8b3b3a9d2v1z6k,Pozole Huasteco
66aa3b8bd48b3b3a52d3f842,Mole rojo de Guajolote
66acfb8bd88b3b3a5717fc86,Quesadillas de Bisteck
